login_frequency,session_duration,transaction_amount,device_changes,failed_logins,Class
4,17.008346822164516,83.14152046270355,1,0,1
1,0.4398760740087526,115.81505840877129,2,1,1
3,1.478011586153067,49.293001405750964,2,0,1
3,3.217320358616886,20.28240586308399,1,0,1
1,10.033879096194735,27.863965080362412,0,0,0
2,37.44777000507334,174.8899555321163,0,0,0
1,1.2536239577278954,106.51014948070873,0,0,0
1,1.5397630911361968,31.1368505450169,0,0,0
2,4.6024404403045756,143.29050052251574,2,0,1
2,18.09225950502104,86.56753188469241,0,0,0
1,6.296672559457875,115.67717672920288,1,0,1
0,3.880338200036168,57.439084623276536,1,0,0
4,8.237202840031117,97.47474353667465,1,0,0
2,3.018123664182996,111.17305174256384,2,1,1
1,5.127606735136,4.826458273014151,0,0,0
3,4.043734280557925,167.93129231541735,1,0,1
2,16.303603808330326,20.294242216559216,0,0,0
6,25.803924339914857,28.981953208954025,0,0,0
1,14.253354097865557,78.48773050516525,0,0,0
1,5.781833614381394,54.66576297244239,1,0,1
2,7.018549382702343,111.7743265324067,1,0,0
2,1.3361561780500433,25.589116628028002,0,0,0
1,13.738311945776882,23.36342175918315,1,0,1
3,9.075185189746517,1.6100903465461585,0,0,0
4,23.272876660427457,31.06229561726726,0,0,0
1,2.2390777272595996,64.38054301903196,0,0,1
3,14.259758476525892,17.91801227926384,0,0,0
1,11.541408392709444,31.062401429577864,0,0,0
4,3.0903582810705563,12.384478276120584,1,0,0
4,11.00750491618104,74.09354611174969,0,0,0
2,25.81946948997919,3.120988302454467,0,0,0
0,25.063671396246896,61.103962897002575,0,0,0
0,12.716329019083714,23.816380113480655,0,0,0
2,0.4926704602027198,2.1242975202786663,0,0,0
2,20.57792285708554,96.02611383960102,0,0,0
2,10.722974034188859,33.44437827337944,1,0,1
1,3.716932319549551,45.72948018269512,0,0,0
5,2.073321648375315,65.84414128214559,0,0,0
4,1.2352885719040754,53.22133165286104,0,0,0
0,0.5154269312457869,65.62559810639583,0,0,0
1,14.028435382683544,71.83344274519735,0,0,0
2,2.689820121622491,44.47654099864933,0,0,0
2,0.2455188193773079,22.756762150901142,0,0,0
0,5.062870252071134,13.928991175812659,0,0,0
2,6.58952694272319,116.6023618715407,1,0,1
2,1.8540257534098468,175.20279256616374,0,0,0
3,0.4504792804846531,22.13209048152304,0,0,0
1,2.0964196322288124,5.956675867638214,0,0,0
0,11.366343374367819,12.58598226170952,0,0,0
2,0.8582336722680741,55.53434663093224,0,0,0
2,8.097642150132526,9.493500941714519,0,0,0
1,1.5830662303436172,75.73418368886384,0,0,0
3,2.177694844893513,128.21713299554983,0,0,0
2,4.993548046667396,165.73013780848328,0,0,1
3,1.062779764560057,0.4684630370874302,0,0,0
